name_en,name_ru,mood_en,mood_ru,description_en,description_ru,object_type_en,object_type_ru,image_path
Andromeda Galaxy,Галактика Андромеды,"majestic, calm, magnetic","величественный, спокойный, притягательный",The Andromeda Galaxy is the nearest large galaxy to the Milky Way and one of the few galaxies visible to the naked eye. It is slowly moving toward us and will merge with the Milky Way in the distant future.,"Галактика Андромеды — ближайшая к Млечному Пути крупная галактика и одна из немногих галактик, видимых невооруженным глазом. В далеком будущем она сольется с Млечным Путем.",galaxy,галактика,data/curated_space_objects/images/andromeda_galaxy.jpg
Milky Way,Млечный Путь,"familiar, dreamy, infinite","знакомый, мечтательный, бесконечный","The Milky Way is our home galaxy, containing the Solar System and hundreds of billions of stars. From Earth, it appears as a pale glowing band across the night sky.","Млечный Путь — наша галактика, в которой находится Солнечная система и сотни миллиардов звезд. С Земли он виден как бледная светящаяся полоса на ночном небе.",galaxy,галактика,data/curated_space_objects/images/milky_way.jpg
Sombrero Galaxy,Галактика Сомбреро,"stylish, mysterious, elegant","стильный, загадочный, элегантный","The Sombrero Galaxy is famous for its bright central bulge and dark dust ring, which make it look like a wide-brimmed hat. It is one of the most recognizable edge-on galaxies.","Галактика Сомбреро известна ярким центральным утолщением и темным пылевым кольцом, из-за которых она похожа на широкополую шляпу. Это одна из самых узнаваемых галактик, видимых с ребра.",galaxy,галактика,data/curated_space_objects/images/sombrero_galaxy.jpg
Whirlpool Galaxy,Галактика Водоворот,"dramatic, social, magnetic","драматичный, общительный, притягательный",The Whirlpool Galaxy is a grand spiral galaxy interacting with a smaller companion galaxy. Its clear spiral arms make it one of the classic examples of a spiral galaxy.,"Галактика Водоворот — большая спиральная галактика, взаимодействующая с меньшей соседней галактикой. Ее четкие рукава делают ее классическим примером спиральной галактики.",galaxy,галактика,data/curated_space_objects/images/whirlpool_galaxy.jpg
Triangulum Galaxy,Галактика Треугольника,"soft, open, luminous","мягкий, открытый, сияющий",The Triangulum Galaxy is a nearby spiral galaxy and the third-largest member of the Local Group. It is smaller than Andromeda and the Milky Way but rich in star-forming regions.,"Галактика Треугольника — близкая спиральная галактика и третий по размеру член Местной группы. Она меньше Андромеды и Млечного Пути, но богата областями звездообразования.",galaxy,галактика,data/curated_space_objects/images/triangulum_galaxy.jpg
Pinwheel Galaxy,Галактика Вертушка,"playful, bright, structured","игривый, яркий, собранный",The Pinwheel Galaxy is a large face-on spiral galaxy in Ursa Major. Its open spiral arms are filled with bright star-forming regions.,"Галактика Вертушка — большая спиральная галактика в созвездии Большой Медведицы, повернутая к нам почти лицом. Ее раскрытые рукава заполнены яркими областями звездообразования.",galaxy,галактика,data/curated_space_objects/images/pinwheel_galaxy.jpg
Cigar Galaxy,Галактика Сигара,"restless, mysterious, intense","неугомонный, загадочный, интенсивный","The Cigar Galaxy is a starburst galaxy where stars are forming at an unusually high rate. Its smoky, turbulent shape comes from strong galactic winds and active star formation.","Галактика Сигара — галактика со вспышкой звездообразования, где новые звезды рождаются необычайно быстро. Ее дымчатый и бурный вид связан с мощными галактическими ветрами.",galaxy,галактика,data/curated_space_objects/images/cigar_galaxy.jpg
Sunflower Galaxy,Галактика Подсолнух,"warm, vibrant, generous","тёплый, живой, щедрый","The Sunflower Galaxy is a spiral galaxy with many short, patchy arms that give it a textured floral look. It contains hundreds of billions of stars.","Галактика Подсолнух — спиральная галактика с множеством коротких, неровных рукавов, из-за которых она напоминает цветок. В ней находятся сотни миллиардов звезд.",galaxy,галактика,data/curated_space_objects/images/sunflower_galaxy.jpg
Black Eye Galaxy,Галактика Черный Глаз,"moody, dramatic, sharp","мрачноватый, драматичный, резкий",The Black Eye Galaxy gets its name from a dark band of dust in front of its bright center. This dramatic feature makes the galaxy look as if it has a cosmic bruise.,Галактика Черный Глаз получила название из-за темной полосы пыли на фоне яркого центра. Эта деталь делает ее похожей на космический синяк.,galaxy,галактика,data/curated_space_objects/images/black_eye_galaxy.jpg
Needle Galaxy,Галактика-Игла,"delicate, precise, distant","деликатный, точный, отстранённый","The Needle Galaxy is a spiral galaxy seen almost perfectly edge-on. Its thin, bright disk and dark dust lane make it look like a long needle in space.","Галактика Игла — спиральная галактика, которую мы видим почти точно с ребра. Ее тонкий яркий диск и темная пылевая полоса делают ее похожей на длинную иглу в космосе.",galaxy,галактика,data/curated_space_objects/images/needle_galaxy.jpg
Sculptor Galaxy,Галактика Скульптор,"expansive, active, glowing","масштабный, активный, сияющий",The Sculptor Galaxy is a bright nearby spiral galaxy undergoing active star formation. It is one of the closest starburst galaxies to the Milky Way.,Галактика Скульптор — яркая близкая спиральная галактика с активным звездообразованием. Это одна из ближайших к Млечному Пути галактик со вспышкой рождения звезд.,galaxy,галактика,data/curated_space_objects/images/sculptor_galaxy.jpg
Centaurus A,Центавр A,"shadowy, powerful, unusual","теневой, мощный, необычный","Centaurus A is a giant galaxy crossed by a thick dark dust lane. It is also the nearest active radio galaxy, powered by a massive black hole at its center.","Центавр A — гигантская галактика, пересеченная толстой темной полосой пыли. Это ближайшая активная радиогалактика, энергию которой дает массивная черная дыра в центре.",galaxy,галактика,data/curated_space_objects/images/centaurus_a.jpg
Antennae Galaxies,Галактики Антенны,"chaotic, intertwined, explosive","хаотичный, переплетённый, взрывной",The Antennae Galaxies are two galaxies colliding and pulling long streams of stars and gas into space. Their interaction triggers intense bursts of new star formation.,"Галактики Антенны — две сталкивающиеся галактики, вытягивающие в космос длинные потоки звезд и газа. Их взаимодействие запускает мощные вспышки звездообразования.",galaxy,галактика,data/curated_space_objects/images/antennae_galaxies.jpg
Tadpole Galaxy,Галактика Головастик,"odd, playful, whimsical","чудаковатый, игривый, затейливый",The Tadpole Galaxy is a distorted galaxy with a long tail of stars stretching far behind it. Its unusual shape was created by a gravitational encounter with another galaxy.,"Галактика Головастик — искаженная галактика с длинным хвостом звезд, тянущимся далеко позади нее. Такая необычная форма появилась после гравитационной встречи с другой галактикой.",galaxy,галактика,data/curated_space_objects/images/tadpole_galaxy.jpg
Hoag's Object,Объект Хога,"perfect, rare, detached","идеальный, редкий, отстраненный",Hoag’s Object is a rare ring galaxy with a bright circular ring of young stars around a yellow core. Its nearly perfect shape makes it one of the strangest known galaxies.,Объект Хога — редкая кольцевая галактика с ярким кругом молодых звезд вокруг желтого ядра. Почти идеальная форма делает ее одной из самых необычных известных галактик.,galaxy,галактика,data/curated_space_objects/images/hoag_s_object.jpg
Mice Galaxies,Галактики Мыши,"mischievous, inseparable, wild","озорной, неразлучный, дикий",The Mice Galaxies are two colliding galaxies with long tidal tails that resemble the tails of mice. Their shapes are being stretched by gravity as they merge.,"Галактики Мыши — пара сталкивающихся галактик с длинными приливными хвостами, похожими на мышиные. Их формы растягиваются гравитацией во время слияния.",galaxy,галактика,data/curated_space_objects/images/mice_galaxies.jpg
Fireworks Galaxy,Галактика Фейерверк,"sparkling, energetic, festive","искрящийся, энергичный, праздничный","The Fireworks Galaxy is a spiral galaxy known for frequent supernova explosions. Its bright star-forming regions give it a sparkling, energetic appearance.","Галактика Фейерверк — спиральная галактика, известная частыми вспышками сверхновых. Яркие области звездообразования придают ей искрящийся и энергичный вид.",galaxy,галактика,data/curated_space_objects/images/fireworks_galaxy.jpg
Southern Pinwheel Galaxy,Южная Галактика Вертушка,"warm, open, expressive","теплый, открытый, выразительный",The Southern Pinwheel Galaxy is a bright barred spiral galaxy in the southern sky. Its wide spiral arms contain many young stars and glowing gas clouds.,Южная Галактика Вертушка — яркая спиральная галактика с перемычкой в южном небе. Ее широкие рукава содержат множество молодых звезд и светящихся газовых облаков.,galaxy,галактика,data/curated_space_objects/images/southern_pinwheel_galaxy.jpg
Orion Nebula,Туманность Ориона,"creative, young, energetic","творческий, молодой, энергичный",The Orion Nebula is a vast stellar nursery where new stars are forming inside glowing gas and dust. It is one of the brightest nebulae visible from Earth.,"Туманность Ориона — огромные звездные ясли, где новые звезды рождаются внутри светящегося газа и пыли. Это одна из самых ярких туманностей, видимых с Земли.",nebula,туманность,data/curated_space_objects/images/orion_nebula.jpg
Crab Nebula,Крабовидная туманность,"electric, intense, restless","электрический, интенсивный, неугомонный",The Crab Nebula is the expanding remnant of a supernova observed in 1054. At its center is a rapidly spinning neutron star called the Crab Pulsar.,"Крабовидная туманность — расширяющийся остаток сверхновой, вспышку которой наблюдали в 1054 году. В ее центре находится быстро вращающаяся нейтронная звезда — пульсар Крабовидной туманности.",supernova remnant,остаток сверхновой,data/curated_space_objects/images/crab_nebula.jpg
Eagle Nebula,Туманность Орла,"grand, iconic, powerful","грандиозный, культовый, мощный",The Eagle Nebula is a star-forming region best known for the Pillars of Creation. Its clouds of gas and dust are sculpted by young massive stars.,"Туманность Орла — область звездообразования, наиболее известная Столпами творения. Ее облака газа и пыли формируются под воздействием молодых массивных звезд.",nebula,туманность,data/curated_space_objects/images/eagle_nebula.jpg
Pillars of Creation,Столпы Творения,"legendary, monumental, dramatic","легендарный, монументальный, драматичный","The Pillars of Creation are towering columns of gas and dust inside the Eagle Nebula. New stars are forming within these dark, dramatic structures.",Столпы творения — гигантские колонны газа и пыли внутри Туманности Орла. В этих темных и драматичных структурах рождаются новые звезды.,nebula,туманность,data/curated_space_objects/images/pillars_of_creation.jpg
Horsehead Nebula,Туманность Конская Голова,"dark, recognizable, reserved","тёмный, узнаваемый, сдержанный","The Horsehead Nebula is a small dark nebula in Orion, famous for its silhouette shaped like a horse’s head. It stands out against a glowing red background of hydrogen gas.","Туманность Конская Голова — небольшая темная туманность в Орионе, известная силуэтом, похожим на голову лошади. Она выделяется на фоне красного свечения водородного газа.",dark nebula,темная туманность,data/curated_space_objects/images/horsehead_nebula.jpg
Helix Nebula,Туманность Улитка,"watchful, mystical, soft","наблюдательный, мистический, мягкий",The Helix Nebula is a planetary nebula formed by a dying Sun-like star. Its eye-like shape has made it one of the most famous nebulae in the sky.,"Туманность Улитка — планетарная туманность, образованная умирающей звездой, похожей на Солнце. Ее форма, напоминающая глаз, сделала ее одной из самых известных туманностей.",planetary nebula,планетарная туманность,data/curated_space_objects/images/helix_nebula.jpg
Ring Nebula,Туманность Кольцо,"elegant, glowing, focused","элегантный, сияющий, сосредоточенный","The Ring Nebula is a glowing shell of gas shed by a dying star. Through a telescope, it appears as a bright cosmic ring.","Туманность Кольцо — светящаяся оболочка газа, сброшенная умирающей звездой. В телескоп она выглядит как яркое космическое кольцо.",planetary nebula,планетарная туманность,data/curated_space_objects/images/ring_nebula.jpg
Carina Nebula,Туманность Киля,"stormy, grand, radiant","бурный, грандиозный, сияющий","The Carina Nebula is a huge star-forming region filled with massive stars, dark dust, and glowing gas. It is one of the most spectacular nebulae in the Milky Way.","Туманность Киля — огромная область звездообразования, наполненная массивными звездами, темной пылью и светящимся газом. Это одна из самых впечатляющих туманностей Млечного Пути.",nebula,туманность,data/curated_space_objects/images/carina_nebula.jpg
Tarantula Nebula,Туманность Тарантул,"wild, immense, explosive","дикий, огромный по масштабу, взрывной",The Tarantula Nebula is one of the most active star-forming regions in the nearby universe. It contains some of the most massive known stars.,Туманность Тарантул — одна из самых активных областей звездообразования в ближайшей Вселенной. В ней находятся одни из самых массивных известных звезд.,nebula,туманность,data/curated_space_objects/images/tarantula_nebula.jpg
Lagoon Nebula,Туманность Лагуна,"warm, dreamy, glowing","теплый, мечтательный, сияющий",The Lagoon Nebula is a bright cloud of gas and dust where young stars are forming. Its warm glow makes it a favorite target for sky observers.,"Туманность Лагуна — яркое облако газа и пыли, где формируются молодые звезды. Ее теплое свечение делает ее любимым объектом для наблюдений.",nebula,туманность,data/curated_space_objects/images/lagoon_nebula.jpg
Trifid Nebula,Трехраздельная туманность,"layered, colorful, complex","многослойный, красочный, сложный","The Trifid Nebula combines glowing emission gas, blue reflection light, and dark dust lanes. These features divide it into a striking three-part pattern.","Трехраздельная туманность сочетает светящийся газ, голубое отраженное сияние и темные полосы пыли. Эти детали делят ее на выразительный узор из трех частей.",nebula,туманность,data/curated_space_objects/images/trifid_nebula.jpg
Rosette Nebula,Туманность Розетка,"romantic, radiant, tender","романтичный, яркий, нежный",The Rosette Nebula is a large flower-shaped cloud of gas surrounding a cluster of young stars. Their radiation lights up the nebula and carves its central cavity.,Туманность Розетка — большое облако газа в форме цветка вокруг скопления молодых звезд. Их излучение подсвечивает туманность и выдувает полость в ее центре.,nebula,туманность,data/curated_space_objects/images/rosette_nebula.jpg
Cat's Eye Nebula,Туманность Кошачий Глаз,"sharp, hypnotic, strange","резкий, гипнотический, странный",The Cat’s Eye Nebula is a planetary nebula with intricate shells and loops of glowing gas. Its complex structure was created by a dying star shedding its outer layers.,"Туманность Кошачий Глаз — планетарная туманность со сложными оболочками и петлями светящегося газа. Ее необычная структура появилась, когда умирающая звезда сбрасывала внешние слои.",planetary nebula,планетарная туманность,data/curated_space_objects/images/cats_eye_nebula.jpg
Omega Nebula,Туманность Омега,"warm, active, theatrical","теплый, активный, театральный",The Omega Nebula is a bright star-forming region also known as the Swan Nebula. Its glowing gas clouds are shaped by hot young stars.,"Туманность Омега, также известная как Лебедь, — яркая область звездообразования. Ее светящиеся газовые облака формируются горячими молодыми звездами.",nebula,туманность,data/curated_space_objects/images/omega_nebula.jpg
Veil Nebula,Туманность Вуаль,"delicate, ghostly, elegant","деликатный, призрачный, элегантный",The Veil Nebula is a delicate network of filaments left behind by an ancient supernova. Its glowing strands mark the shock wave moving through interstellar gas.,"Туманность Вуаль — тонкая сеть нитей, оставшаяся после древней сверхновой. Ее светящиеся волокна отмечают ударную волну, проходящую через межзвездный газ.",supernova remnant,остаток сверхновой,data/curated_space_objects/images/veil_nebula.jpg
North America Nebula,Туманность Северная Америка,"expansive, bright, recognizable","масштабный, яркий, узнаваемый",The North America Nebula is a large emission nebula whose outline resembles the continent of North America. It glows red from ionized hydrogen gas.,"Туманность Северная Америка — большая эмиссионная туманность, очертания которой напоминают континент Северная Америка. Она светится красным благодаря ионизированному водороду.",nebula,туманность,data/curated_space_objects/images/north_america_nebula.jpg
Butterfly Nebula,Туманность Бабочка,"symmetric, fiery, graceful","симметричный, огненный, грациозный",The Butterfly Nebula is a planetary nebula with two bright lobes spreading from a dying star. Its shape looks like cosmic wings made of hot gas.,"Туманность Бабочка — планетарная туманность с двумя яркими лопастями, расходящимися от умирающей звезды. Ее форма похожа на космические крылья из горячего газа.",planetary nebula,планетарная туманность,data/curated_space_objects/images/butterfly_nebula.jpg
Eskimo Nebula,Туманность Эскимос,"quirky, bright, eccentric","причудливый, яркий, эксцентричный",The Eskimo Nebula is a planetary nebula with a bright inner shell and a fuzzy outer halo. It was formed when a Sun-like star began shedding its atmosphere.,"Эскимосская туманность — планетарная туманность с яркой внутренней оболочкой и пушистым внешним ореолом. Она возникла, когда звезда, похожая на Солнце, начала сбрасывать атмосферу.",planetary nebula,планетарная туманность,data/curated_space_objects/images/eskimo_nebula.jpg
Dumbbell Nebula,Туманность Гантель,"soft, balanced, glowing","мягкий, уравновешенный, сияющий",The Dumbbell Nebula is one of the brightest planetary nebulae in the sky. It is the expanding shell of gas from a dying star.,"Туманность Гантель — одна из самых ярких планетарных туманностей на небе. Это расширяющаяся оболочка газа, сброшенная умирающей звездой.",planetary nebula,планетарная туманность,data/curated_space_objects/images/dumbbell_nebula.jpg
Little Dumbbell Nebula,Туманность Маленькая Гантель,"unusual, bright, focused","необычный, яркий, сосредоточенный","The Little Dumbbell Nebula is a compact planetary nebula with a pinched, hourglass-like shape. It shows the late stages of a star similar to the Sun.","Туманность Маленькая Гантель — компактная планетарная туманность с перетянутой формой, напоминающей песочные часы. Она показывает позднюю стадию жизни звезды, похожей на Солнце.",planetary nebula,планетарная туманность,data/curated_space_objects/images/little_dumbbell_nebula.jpg
Flame Nebula,Туманность Пламя,"fiery, warm, dramatic","огненный, теплый, драматичный",The Flame Nebula is a glowing cloud of gas and dust near the bright star Alnitak in Orion. Dark dust lanes give it the appearance of cosmic flames.,Пламенная туманность — светящееся облако газа и пыли рядом с яркой звездой Альнитак в Орионе. Темные полосы пыли придают ей вид космического пламени.,nebula,туманность,data/curated_space_objects/images/flame_nebula.jpg
California Nebula,Туманность Калифорния,"open, warm, relaxed","открытый, тёплый, расслабленный",The California Nebula is a long red emission nebula shaped somewhat like the state of California. Its glow comes from hydrogen gas energized by a nearby hot star.,"Калифорнийская туманность — длинная красная эмиссионная туманность, по форме напоминающая штат Калифорния. Ее свечение создается водородным газом, возбужденным горячей соседней звездой.",nebula,туманность,data/curated_space_objects/images/california_nebula.jpg
Cone Nebula,Туманность Конус,"pointed, dark, focused","пронзительный, мрачный, сосредоточенный",The Cone Nebula is a dark pillar of gas and dust inside a bright star-forming region. Its sharp outline is shaped by radiation from nearby young stars.,Туманность Конус — темный столб газа и пыли внутри яркой области звездообразования. Его резкие очертания сформированы излучением молодых соседних звезд.,nebula,туманность,data/curated_space_objects/images/cone_nebula.jpg
