name,wiki_title,object_type,mood,tags,fallback_image_url
Andromeda Galaxy,Andromeda Galaxy,galaxy,"majestic, calm, magnetic","galaxy,spiral,bright,elegant,iconic",
Milky Way,Milky Way,galaxy,"familiar, dreamy, infinite","galaxy,spiral,home,bright,dreamy",
Sombrero Galaxy,Sombrero Galaxy,galaxy,"stylish, mysterious, elegant","galaxy,spiral,dark,elegant,iconic",
Whirlpool Galaxy,Whirlpool Galaxy,galaxy,"dramatic, social, spiral","galaxy,spiral,interaction,dramatic,bright",
Triangulum Galaxy,Triangulum Galaxy,galaxy,"soft, open, luminous","galaxy,spiral,soft,bright,calm",
Pinwheel Galaxy,Pinwheel Galaxy,galaxy,"playful, bright, structured","galaxy,spiral,bright,playful,structured",
Cigar Galaxy,Messier 82,galaxy,"restless, smoky, intense","galaxy,starburst,dramatic,intense,smoky",
Sunflower Galaxy,Sunflower Galaxy,galaxy,"warm, textured, generous","galaxy,spiral,warm,textured,bright",
Black Eye Galaxy,Black Eye Galaxy,galaxy,"moody, dramatic, sharp","galaxy,dark,dramatic,mysterious,sharp",
Needle Galaxy,Needle Galaxy,galaxy,"thin, precise, distant","galaxy,edge-on,precise,elegant,dark",
Sculptor Galaxy,Sculptor Galaxy,galaxy,"wide, active, glowing","galaxy,starburst,bright,active,warm",
Centaurus A,Centaurus A,galaxy,"dusty, powerful, strange","galaxy,dust,dark,powerful,radio",
Antennae Galaxies,Antennae Galaxies,galaxy,"chaotic, connected, explosive","galaxy,merger,chaotic,dramatic,interaction",
Tadpole Galaxy,Tadpole Galaxy,galaxy,"odd, playful, stretched","galaxy,peculiar,playful,rare,tail",
Hoag's Object,Hoag's Object,galaxy,"perfect, rare, detached","galaxy,ring,rare,elegant,mysterious",
Mice Galaxies,Mice Galaxies,galaxy,"mischievous, connected, wild","galaxy,merger,playful,chaotic,interaction",
Fireworks Galaxy,Fireworks Galaxy,galaxy,"sparkling, energetic, festive","galaxy,spiral,bright,energetic,supernova",
Southern Pinwheel Galaxy,Southern Pinwheel Galaxy,galaxy,"warm, open, expressive","galaxy,spiral,warm,bright,structured",
Orion Nebula,Orion Nebula,nebula,"creative, young, energetic","nebula,bright,warm,star-forming,iconic",
Crab Nebula,Crab Nebula,supernova remnant,"electric, intense, restless","supernova,bright,electric,chaotic,iconic",
Eagle Nebula,Eagle Nebula,nebula,"grand, iconic, powerful","nebula,star-forming,dramatic,iconic,bright",
Pillars of Creation,Pillars of Creation,nebula,"legendary, monumental, dramatic","nebula,pillars,dramatic,iconic,star-forming",
Horsehead Nebula,Horsehead Nebula,dark nebula,"dark, iconic, reserved","nebula,dark,mysterious,iconic,quiet",
Helix Nebula,Helix Nebula,planetary nebula,"watchful, mystical, soft","nebula,planetary,blue,soft,mystical",
Ring Nebula,Ring Nebula,planetary nebula,"precise, glowing, focused","nebula,planetary,ring,focused,bright",
Carina Nebula,Carina Nebula,nebula,"stormy, huge, radiant","nebula,bright,dramatic,star-forming,huge",
Tarantula Nebula,Tarantula Nebula,nebula,"wild, massive, explosive","nebula,star-forming,chaotic,huge,bright",
Lagoon Nebula,Lagoon Nebula,nebula,"warm, dreamy, glowing","nebula,warm,bright,dreamy,star-forming",
Trifid Nebula,Trifid Nebula,nebula,"layered, colorful, complex","nebula,colorful,complex,bright,dust",
Rosette Nebula,Rosette Nebula,nebula,"romantic, bright, floral","nebula,floral,bright,soft,romantic",
Cat's Eye Nebula,Cat's Eye Nebula,planetary nebula,"sharp, hypnotic, strange","nebula,planetary,hypnotic,sharp,mysterious",
Omega Nebula,Omega Nebula,nebula,"warm, active, theatrical","nebula,warm,bright,dramatic,star-forming",
Veil Nebula,Veil Nebula,supernova remnant,"delicate, ghostly, elegant","supernova,delicate,ghostly,elegant,filament",
North America Nebula,North America Nebula,nebula,"large, bright, recognizable","nebula,bright,large,recognizable,warm",
Butterfly Nebula,Butterfly Nebula,planetary nebula,"symmetric, fiery, graceful","nebula,planetary,symmetric,fiery,elegant",
Eskimo Nebula,Eskimo Nebula,planetary nebula,"round, quirky, bright","nebula,planetary,round,quirky,bright",
Dumbbell Nebula,Dumbbell Nebula,planetary nebula,"soft, balanced, glowing","nebula,planetary,soft,balanced,bright",
Little Dumbbell Nebula,Little Dumbbell Nebula,planetary nebula,"compact, unusual, glowing","nebula,planetary,compact,quirky,bright",
Flame Nebula,Flame Nebula,nebula,"fiery, warm, dramatic","nebula,warm,fiery,dark,dramatic",
California Nebula,California Nebula,nebula,"wide, red, relaxed","nebula,red,wide,warm,calm",
Cone Nebula,Cone Nebula,nebula,"sharp, dark, focused","nebula,dark,sharp,mysterious,star-forming",
Witch Head Nebula,Witch Head Nebula,reflection nebula,"pale, eerie, poetic","nebula,reflection,blue,eerie,soft",
Iris Nebula,Iris Nebula,reflection nebula,"blue, delicate, elegant","nebula,reflection,blue,elegant,soft",
Heart Nebula,Heart Nebula,nebula,"warm, sincere, glowing","nebula,heart,warm,romantic,bright",
Soul Nebula,Soul Nebula,nebula,"deep, warm, emotional","nebula,warm,large,emotional,bright",
Bubble Nebula,Bubble Nebula,nebula,"round, playful, fragile","nebula,bubble,playful,bright,delicate",
Elephant's Trunk Nebula,Elephant's Trunk Nebula,nebula,"textured, patient, strong","nebula,dark,textured,star-forming,strong",
Seagull Nebula,Seagull Nebula,nebula,"wide, airy, light","nebula,wide,bright,airy,soft",
Monkey Head Nebula,Monkey Head Nebula,nebula,"funny, warm, expressive","nebula,warm,playful,bright,star-forming",
Thor's Helmet,Thor's Helmet,nebula,"heroic, bold, windy","nebula,bubble,dramatic,bold,bright",
Crescent Nebula,Crescent Nebula,nebula,"curved, fierce, glowing","nebula,crescent,dramatic,bright,wind",
Pleiades,Pleiades,star cluster,"sparkling, social, youthful","cluster,stars,blue,sparkling,iconic",
Hyades,Hyades (star cluster),star cluster,"ancient, warm, steady","cluster,stars,warm,steady,near",
Omega Centauri,Omega Centauri,globular cluster,"dense, ancient, wise","cluster,globular,dense,ancient,golden",
47 Tucanae,47 Tucanae,globular cluster,"compact, golden, old-soul","cluster,globular,dense,golden,ancient",
Hercules Globular Cluster,Messier 13,globular cluster,"crowded, brilliant, ancient","cluster,globular,dense,bright,ancient",
Beehive Cluster,Beehive Cluster,open cluster,"social, bright, friendly","cluster,open,social,bright,stars",
Jewel Box Cluster,Jewel Box (star cluster),open cluster,"colorful, precious, bright","cluster,open,colorful,bright,elegant",
Quintuplet Cluster,Quintuplet cluster,star cluster,"rare, hot, intense","cluster,stars,rare,intense,hot",
Arches Cluster,Arches Cluster,star cluster,"dense, young, extreme","cluster,dense,young,extreme,stars",
Saturn,Saturn,planet,"elegant, iconic, composed","planet,rings,elegant,iconic,calm",
Jupiter,Jupiter,planet,"huge, confident, stormy","planet,storm,huge,bold,warm",
Mars,Mars,planet,"bold, dry, adventurous","planet,red,adventurous,dry,bold",
Venus,Venus,planet,"bright, veiled, intense","planet,bright,cloudy,warm,mysterious",
Neptune,Neptune,planet,"deep, blue, distant","planet,blue,cold,distant,calm",
Uranus,Uranus,planet,"pale, tilted, quiet","planet,blue,quiet,odd,cold",
Mercury,Mercury (planet),planet,"small, fast, sharp","planet,small,fast,rocky,sharp",
Earth,Earth,planet,"alive, balanced, blue","planet,blue,life,balanced,home",
Europa,Europa (moon),moon,"icy, secretive, promising","moon,ice,blue,secretive,ocean",
Titan,Titan (moon),moon,"hazy, alien, complex","moon,hazy,orange,alien,complex",
Io,Io (moon),moon,"volcanic, intense, colorful","moon,volcanic,colorful,intense,wild",
Ganymede,Ganymede (moon),moon,"large, quiet, ancient","moon,large,icy,ancient,calm",
Enceladus,Enceladus,moon,"icy, clean, surprising","moon,ice,bright,secretive,plumes",
Callisto,Callisto (moon),moon,"scarred, old, resilient","moon,ancient,dark,scarred,quiet",
Charon,Charon (moon),moon,"paired, distant, loyal","moon,distant,paired,quiet,icy",
Pluto,Pluto,minor planet,"small, dramatic, beloved","minor-planet,distant,icy,beloved,heart",
Ceres,Ceres (dwarf planet),dwarf planet,"quiet, round, hidden","dwarf-planet,asteroid,quiet,rocky,small",
Vesta,4 Vesta,asteroid,"bright, rocky, determined","asteroid,rocky,bright,small,sharp",
Bennu,101955 Bennu,asteroid,"dark, ancient, risky","asteroid,dark,ancient,small,mysterious",
Arrokoth,486958 Arrokoth,trans-Neptunian object,"soft, distant, strange","tno,distant,red,quiet,odd",
Quasar 3C 273,3C 273,quasar,"brilliant, distant, extreme","quasar,bright,distant,extreme,jet",
Einstein Cross,Einstein Cross,gravitational lens,"rare, mirrored, cosmic","quasar,lens,rare,geometric,mysterious",
Vela Pulsar,Vela Pulsar,pulsar,"fast, electric, precise","pulsar,fast,electric,supernova,precise",
Crab Pulsar,Crab Pulsar,pulsar,"restless, electric, iconic","pulsar,electric,supernova,fast,iconic",
Tycho's Supernova,Tycho's Supernova,supernova remnant,"historic, explosive, sharp","supernova,remnant,historic,explosive,bright",
Kepler's Supernova,Kepler's Supernova,supernova remnant,"historic, fiery, expanding","supernova,remnant,historic,fiery,dramatic",
Cassiopeia A,Cassiopeia A,supernova remnant,"young, loud, colorful","supernova,remnant,colorful,dramatic,young",
Barnard 68,Barnard 68,dark nebula,"silent, dark, minimal","nebula,dark,quiet,minimal,mysterious",